function	cod	gene_name	type	chr	organism
 olfactory receptor	4C13	OR4C13	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5W2	OR5W2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4D5	OR4D5	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5D13	OR5D13	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8G1	OR8G1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8K1	OR8K1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8D1	OR8D1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8D2	OR8D2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5AP2	OR5AP2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	56A3	OR56A3	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10A3	OR10A3	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8I2	OR8I2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52B2	OR52B2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8K5	OR8K5	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4S2	OR4S2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8J3	OR8J3	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4P4	OR4P4	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52M1	OR52M1	__SEG__	Chr11	{HomoSapiens}
 keratin-associated protein	5-2	KRTAP5-2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	1S1	OR1S1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	1S2	OR1S2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10A2	OR10A2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10A6	OR10A6	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10G4	OR10G4	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10G7	OR10G7	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10G8	OR10G8	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10Q1	OR10Q1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10S1	OR10S1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	2AG1	OR2AG1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	2AG2	OR2AG2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	2D3	OR2D3	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4C11	OR4C11	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4C16	OR4C16	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor 4C3	precursor	OR4C3	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4C46	OR4C46	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4C6	OR4C6	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4D10	OR4D10	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4D11	OR4D11	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4D6	OR4D6	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4D9	OR4D9	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4S1	OR4S1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4X1	OR4X1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4X2	OR4X2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5A1	OR5A1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5AN1	OR5AN1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5AR1	OR5AR1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5B12	OR5B12	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5D14	OR5D14	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5L1	OR5L1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5L2	OR5L2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5M1	OR5M1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5M10	OR5M10	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5M3	OR5M3	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5M9	OR5M9	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5R1	OR5R1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5T1	OR5T1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5T2	OR5T2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5T3	OR5T3	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51A2	OR51A2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51A7	OR51A7	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51B6	OR51B6	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51D1	OR51D1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51F1	OR51F1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51F2	OR51F2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51I2	OR51I2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51L1	OR51L1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51M1	OR51M1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51Q1	OR51Q1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51S1	OR51S1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51T1	OR51T1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51V1	OR51V1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52A5	OR52A5	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52B4	OR52B4	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52B6	OR52B6	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52D1	OR52D1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52E2	OR52E2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52E4	OR52E4	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52E5	OR52E5	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52E6	OR52E6	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52E8	OR52E8	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52I1	OR52I1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52I2	OR52I2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52K1	OR52K1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52K2	OR52K2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52L1	OR52L1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52N2	OR52N2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52R1	OR52R1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52W1	OR52W1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	56A4	OR56A4	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	56B1	OR56B1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	56B4	OR56B4	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	6Q1	OR6Q1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	6X1	OR6X1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8A1	OR8A1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8B12	OR8B12	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8B4	OR8B4	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8D4	OR8D4	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8G5	OR8G5	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8H1	OR8H1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8H2	OR8H2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8H3	OR8H3	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8K3	OR8K3	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8U1	OR8U1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8J1	OR8J1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	9I1	OR9I1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	9Q1	OR9Q1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	9G1	OR9G1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5B21	OR5B21	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51G1	OR51G1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51G2	OR51G2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5M11	OR5M11	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4C12	OR4C12	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4A5	OR4A5	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4A16	OR4A16	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4A15	OR4A15	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5M8	OR5M8	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	9Q2	OR9Q2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	9G4	OR9G4	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51I1	OR51I1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52H1	OR52H1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5AK2	OR5AK2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10V1	OR10V1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	6M1	OR6M1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51A4	OR51A4	__SEG__	Chr11	{HomoSapiens}
 keratin-associated protein	5-11	KRTAP5-11	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5B3	OR5B3	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4B1	OR4B1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5B17	OR5B17	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10AG1	OR10AG1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5J2	OR5J2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4A47	OR4A47	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4C45	OR4C45	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5B2	OR5B2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51B5	OR51B5	__SEG__	Chr11	{HomoSapiens}
 keratin-associated protein	5-1	KRTAP5-1	__SEG__	Chr11	{HomoSapiens}
 keratin-associated protein	5-6	KRTAP5-6	__SEG__	Chr11	{HomoSapiens}
 keratin-associated protein	5-7	KRTAP5-7	__SEG__	Chr11	{HomoSapiens}
 keratin-associated protein	5-3	KRTAP5-3	__SEG__	Chr11	{HomoSapiens}
 keratin-associated protein	5-10	KRTAP5-10	__SEG__	Chr11	{HomoSapiens}
 putative cancer susceptibility gene HEPN1	protein	HEPN1	__SEG__	Chr11	{HomoSapiens}
 mas-related G-protein coupled receptor member	E	MRGPRE	__SEG__	Chr11	{HomoSapiens}
 macrophage-expressed gene 1 protein	precursor	MPEG1	__SEG__	Chr11	{HomoSapiens}
 ras association domain-containing protein	10	RASSF10	__SEG__	Chr11	{HomoSapiens}
 putative	claudin-25	CLDN25	__SEG__	Chr11	{HomoSapiens}
 zinc finger BED domain-containing protein	5	ZBED5	__SEG__	Chr11	{HomoSapiens}
 upstream-binding factor 1-like protein	1	UBTFL1	__SEG__	Chr11	{HomoSapiens}
 uncharacterized protein	C11orf96	C11orf96	__SEG__	Chr11	{HomoSapiens}
 leucine-rich repeat-containing protein	10B	LRRC10B	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	56A5	OR56A5	__SEG__	Chr11	{HomoSapiens}
 lysine-specific demethylase	4E	KDM4E	__SEG__	Chr11	{HomoSapiens}
 mas-related G-protein coupled receptor member	G	MRGPRG	__SEG__	Chr11	{HomoSapiens}
 humanin-like	8	MTRNR2L8	__SEG__	Chr11	{HomoSapiens}
 trophoblast glycoprotein-like	precursor	TPBGL	__SEG__	Chr11	{HomoSapiens}
 casein kinase 2, alpha 1	polypeptide-like	CSNK2A3	__SEG__	Chr11	{HomoSapiens}
 putative olfactory receptor	8G2	OR8G2P	__SEG__	Chr11	{HomoSapiens}
 proapoptotic nucleolar protein	1	PANO1	__SEG__	Chr11	{HomoSapiens}
 H19 opposite tumor	suppressor	HOTS	__SEG__	Chr11	{HomoSapiens}
 keratin-associated protein 5-4 isoform	1	KRTAP5-4	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52E1	OR52E1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	4C5	OR4C5	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51J1	OR51J1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5AL1	OR5AL1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52Z1	OR52Z1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51H1	OR51H1	__SEG__	Chr11	{HomoSapiens}
 putative olfactory receptor	10D3	OR10D3	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor 10G6	precursor	OR10G6	__SEG__	Chr11	{HomoSapiens}
 alpha-(1,3)-fucosyltransferase	4	FUT4	__SEG__	Chr11	{HomoSapiens}
 histone	H2AX	H2AFX	__SEG__	Chr11	{HomoSapiens}
 potassium voltage-gated channel subfamily A member	4	KCNA4	__SEG__	Chr11	{HomoSapiens}
	sarcolipin	SLN	__SEG__	Chr11	{HomoSapiens}
 thyroid hormone-inducible hepatic	protein	THRSP	__SEG__	Chr11	{HomoSapiens}
 pleckstrin homology-like domain family A member	2	PHLDA2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	6A2	OR6A2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5F1	OR5F1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	2D2	OR2D2	__SEG__	Chr11	{HomoSapiens}
 jerky protein	homolog-like	JRKL	__SEG__	Chr11	{HomoSapiens}
 flap endonuclease	1	FEN1	__SEG__	Chr11	{HomoSapiens}
 prostaglandin D2 receptor	2	PTGDR2	__SEG__	Chr11	{HomoSapiens}
 apelin	receptor	APLNR	__SEG__	Chr11	{HomoSapiens}
 achaete-scute homolog	2	ASCL2	__SEG__	Chr11	{HomoSapiens}
 keratin-associated protein	5-9	KRTAP5-9	__SEG__	Chr11	{HomoSapiens}
 olfactory marker	protein	OMP	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5I1	OR5I1	__SEG__	Chr11	{HomoSapiens}
 cdc42 effector protein	2	CDC42EP2	__SEG__	Chr11	{HomoSapiens}
 coiled-coil domain-containing protein	85B	CCDC85B	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	52A1	OR52A1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	8B8	OR8B8	__SEG__	Chr11	{HomoSapiens}
 zinc finger HIT domain-containing protein	2	ZNHIT2	__SEG__	Chr11	{HomoSapiens}
 four-jointed box protein 1	precursor	FJX1	__SEG__	Chr11	{HomoSapiens}
 RNA-binding motif protein,	X-linked-like-2	RBMXL2	__SEG__	Chr11	{HomoSapiens}
 cell cycle exit and neuronal differentiation protein	1	CEND1	__SEG__	Chr11	{HomoSapiens}
 lysine-specific demethylase	4D	KDM4D	__SEG__	Chr11	{HomoSapiens}
 coiled-coil domain-containing protein	87	CCDC87	__SEG__	Chr11	{HomoSapiens}
 endosialin	precursor	CD248	__SEG__	Chr11	{HomoSapiens}
 achaete-scute homolog	3	ASCL3	__SEG__	Chr11	{HomoSapiens}
 keratin-associated protein	5-8	KRTAP5-8	__SEG__	Chr11	{HomoSapiens}
 Fanconi anemia group F	protein	FANCF	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51E2	OR51E2	__SEG__	Chr11	{HomoSapiens}
 E3 ubiquitin-protein ligase	RNF26	RNF26	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51B4	OR51B4	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51B2	OR51B2	__SEG__	Chr11	{HomoSapiens}
 mas-related G-protein coupled receptor member	X2	MRGPRX2	__SEG__	Chr11	{HomoSapiens}
 mas-related G-protein coupled receptor member	X3	MRGPRX3	__SEG__	Chr11	{HomoSapiens}
 mas-related G-protein coupled receptor member	X4	MRGPRX4	__SEG__	Chr11	{HomoSapiens}
 acetylgalactosaminyl-O-glycosyl-glycoprotein	beta-1,3-N-acetylglucosaminyltransferase	B3GNT6	__SEG__	Chr11	{HomoSapiens}
 ubiquilin-like	protein	UBQLNL	__SEG__	Chr11	{HomoSapiens}
 tigger transposable element-derived protein	3	TIGD3	__SEG__	Chr11	{HomoSapiens}
 mas-related G-protein coupled receptor member	X1	MRGPRX1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	51E1	OR51E1	__SEG__	Chr11	{HomoSapiens}
 coiled-coil domain-containing protein	89	CCDC89	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5P2	OR5P2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	5P3	OR5P3	__SEG__	Chr11	{HomoSapiens}
 protein	FAM181B	FAM181B	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10A5	OR10A5	__SEG__	Chr11	{HomoSapiens}
 mas-related G-protein coupled receptor member	D	MRGPRD	__SEG__	Chr11	{HomoSapiens}
 fin bud initiation factor homolog	precursor	FIBIN	__SEG__	Chr11	{HomoSapiens}
 LRRN4 C-terminal-like protein	precursor	LRRN4CL	__SEG__	Chr11	{HomoSapiens}
 probable G-protein coupled receptor	152	GPR152	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10A4	OR10A4	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor	10W1	OR10W1	__SEG__	Chr11	{HomoSapiens}
 colorectal cancer-associated protein	1	COLCA1	__SEG__	Chr11	{HomoSapiens}
 uncharacterized protein	LOC101060179	LOC101060179	__SEG__	Chr11	{HomoSapiens}
 uncharacterized protein LOC100287896 isoform	X1	LOC100287896	__SEG__	Chr11	{HomoSapiens}
 uncharacterized protein LOC101927503 isoform	X1	LOC101927503	__SEG__	Chr11	{HomoSapiens}
 serine/arginine-rich splicing factor 8 isoform	X1	SRSF8	__SEG__	Chr11	{HomoSapiens}
 complement C1q tumor necrosis factor-related protein 4 isoform	X1	C1QTNF4	__SEG__	Chr11	{HomoSapiens}
 hydrolethalus syndrome protein 1 isoform	X1	HYLS1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor 6T1 isoform	X1	OR6T1	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor 8B2 isoform	X1	OR8B2	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor 2AT4 isoform	X1	OR2AT4	__SEG__	Chr11	{HomoSapiens}
 ATP-sensitive inward rectifier potassium channel 11 isoform	X1	KCNJ11	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor 52N4 isoform	X1	OR52N4	__SEG__	Chr11	{HomoSapiens}
 olfactory receptor 8B3 isoform	X1	OR8B3	__SEG__	Chr11	{HomoSapiens}
 rho-related GTP-binding protein RhoG isoform	X1	RHOG	__SEG__	Chr11	{HomoSapiens}
 P2Y purinoceptor 2 isoform	X1	P2RY2	__SEG__	Chr11	{HomoSapiens}
 cytochrome c oxidase assembly factor 4 homolog, mitochondrial isoform	X2	COA4	__SEG__	Chr11	{HomoSapiens}
 leucine-rich repeat-containing protein 4C isoform	X1	LRRC4C	__SEG__	Chr11	{HomoSapiens}
 uncharacterized protein	LOC107984314	LOC107984314	__SEG__	Chr11	{HomoSapiens}
 uncharacterized protein	LOC107984341	LOC107984341	__SEG__	Chr11	{HomoSapiens}
 uncharacterized protein	LOC107984399	LOC107984399	__SEG__	Chr11	{HomoSapiens}
 leucine-rich repeat transmembrane protein FLRT1 isoform	X1	FLRT1	__SEG__	Chr11	{HomoSapiens}
 6.8 kDa mitochondrial	proteolipid-like	LOC112268080	__SEG__	Chr11	{HomoSapiens}
 potassium voltage-gated channel subfamily A member	1	KCNA1	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	10AD1	OR10AD1	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	6C1	OR6C1	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	6C76	OR6C76	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	9K2	OR9K2	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	10A7	OR10A7	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	6C6	OR6C6	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	6C4	OR6C4	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	6C75	OR6C75	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	6C70	OR6C70	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	6C65	OR6C65	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	6C68	OR6C68	__SEG__	Chr12	{HomoSapiens}
 EP300-interacting inhibitor of differentiation	3	EID3	__SEG__	Chr12	{HomoSapiens}
 coiled-coil domain-containing protein	184	CCDC184	__SEG__	Chr12	{HomoSapiens}
 histone	H3.3C	H3F3C	__SEG__	Chr12	{HomoSapiens}
 rab15 effector	protein	REP15	__SEG__	Chr12	{HomoSapiens}
 microtubule-associated proteins 1A/1B light chain 3 beta 2	precursor	MAP1LC3B2	__SEG__	Chr12	{HomoSapiens}
 taste receptor type 2 member	30	TAS2R30	__SEG__	Chr12	{HomoSapiens}
 ataxin-7-like protein	3B	ATXN7L3B	__SEG__	Chr12	{HomoSapiens}
 lysophosphatidic acid receptor	5	LPAR5	__SEG__	Chr12	{HomoSapiens}
 amphoterin-induced protein 2	precursor	AMIGO2	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	2AP1	OR2AP1	__SEG__	Chr12	{HomoSapiens}
 small integral membrane protein 10-like protein	1	SMIM10L1	__SEG__	Chr12	{HomoSapiens}
 C3a anaphylatoxin chemotactic	receptor	C3AR1	__SEG__	Chr12	{HomoSapiens}
 potassium voltage-gated channel subfamily A member	5	KCNA5	__SEG__	Chr12	{HomoSapiens}
 achaete-scute homolog	1	ASCL1	__SEG__	Chr12	{HomoSapiens}
 hydroxycarboxylic acid receptor	3	HCAR3	__SEG__	Chr12	{HomoSapiens}
 frizzled-10	precursor	FZD10	__SEG__	Chr12	{HomoSapiens}
 G-protein coupled receptor	182	GPR182	__SEG__	Chr12	{HomoSapiens}
 pleckstrin homology-like domain family A member	1	PHLDA1	__SEG__	Chr12	{HomoSapiens}
 acidic leucine-rich nuclear phosphoprotein 32 family member	D	ANP32D	__SEG__	Chr12	{HomoSapiens}
 zinc finger and BTB domain-containing protein	39	ZBTB39	__SEG__	Chr12	{HomoSapiens}
	polyubiquitin-C	UBC	__SEG__	Chr12	{HomoSapiens}
 neurogenic differentiation factor	4	NEUROD4	__SEG__	Chr12	{HomoSapiens}
 taste receptor type 2 member	9	TAS2R9	__SEG__	Chr12	{HomoSapiens}
 taste receptor type 2 member	8	TAS2R8	__SEG__	Chr12	{HomoSapiens}
 taste receptor type 2 member	7	TAS2R7	__SEG__	Chr12	{HomoSapiens}
 taste receptor type 2 member	13	TAS2R13	__SEG__	Chr12	{HomoSapiens}
 taste receptor type 2 member	10	TAS2R10	__SEG__	Chr12	{HomoSapiens}
 hydroxycarboxylic acid receptor	1	HCAR1	__SEG__	Chr12	{HomoSapiens}
 zinc finger CCCH domain-containing protein	10	ZC3H10	__SEG__	Chr12	{HomoSapiens}
 cytochrome c oxidase assembly protein	COX14	COX14	__SEG__	Chr12	{HomoSapiens}
 F-actin-capping protein subunit	alpha-3	CAPZA3	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	6C3	OR6C3	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	6C2	OR6C2	__SEG__	Chr12	{HomoSapiens}
 zinc finger protein	664	ZNF664	__SEG__	Chr12	{HomoSapiens}
 coiled-coil domain-containing glutamate-rich protein	1	CCER1	__SEG__	Chr12	{HomoSapiens}
 histone	H4	HIST4H4	__SEG__	Chr12	{HomoSapiens}
 taste receptor type 2 member	43	TAS2R43	__SEG__	Chr12	{HomoSapiens}
 taste receptor type 2 member	31	TAS2R31	__SEG__	Chr12	{HomoSapiens}
 taste receptor type 2 member	46	TAS2R46	__SEG__	Chr12	{HomoSapiens}
 taste receptor type 2 member	19	TAS2R19	__SEG__	Chr12	{HomoSapiens}
 taste receptor type 2 member	20	TAS2R20	__SEG__	Chr12	{HomoSapiens}
 taste receptor type 2 member	50	TAS2R50	__SEG__	Chr12	{HomoSapiens}
 hydroxycarboxylic acid receptor	2	HCAR2	__SEG__	Chr12	{HomoSapiens}
 histone	H2A.J	H2AFJ	__SEG__	Chr12	{HomoSapiens}
 taste receptor type 2 member	42	TAS2R42	__SEG__	Chr12	{HomoSapiens}
 transmembrane protein 119	precursor	TMEM119	__SEG__	Chr12	{HomoSapiens}
 testis-specific H1	histone	H1FNT	__SEG__	Chr12	{HomoSapiens}
 leucine-rich repeat-containing protein	10	LRRC10	__SEG__	Chr12	{HomoSapiens}
 achaete-scute homolog	4	ASCL4	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor	10P1	OR10P1	__SEG__	Chr12	{HomoSapiens}
 prothymosin	alpha	LOC100506248	__SEG__	Chr12	{HomoSapiens}
 G-protein coupled receptor 84 isoform	X1	GPR84	__SEG__	Chr12	{HomoSapiens}
 uncharacterized protein	LOC100996701	LOC100996701	__SEG__	Chr12	{HomoSapiens}
 zinc finger protein 891 isoform	X1	ZNF891	__SEG__	Chr12	{HomoSapiens}
 uncharacterized protein C12orf60 isoform	X1	C12orf60	__SEG__	Chr12	{HomoSapiens}
 olfactory receptor 6C74 isoform	X1	OR6C74	__SEG__	Chr12	{HomoSapiens}
 potassium voltage-gated channel subfamily A member 6 isoform	X1	KCNA6	__SEG__	Chr12	{HomoSapiens}
 single-pass membrane and coiled-coil domain-containing protein 3 isoform	X1	SMCO3	__SEG__	Chr12	{HomoSapiens}
 transcription termination factor 2, mitochondrial isoform	X1	MTERF2	__SEG__	Chr12	{HomoSapiens}
 activator of apoptosis harakiri isoform	X1	HRK	__SEG__	Chr12	{HomoSapiens}
 PC-esterase domain-containing protein 1B isoform	X1	PCED1B	__SEG__	Chr12	{HomoSapiens}
 collagen alpha-1(I)	chain-like	LOC107984507	__SEG__	Chr12	{HomoSapiens}
 uncharacterized protein	LOC105370092	LOC105370092	__SEG__	Chr12	{HomoSapiens}
 uncharacterized protein	LOC107984449	LOC107984449	__SEG__	Chr12	{HomoSapiens}
 heterogeneous nuclear ribonucleoprotein A1-like	2	HNRNPA1L2	__SEG__	Chr13	{HomoSapiens}
 gap junction beta-6	protein	GJB6	__SEG__	Chr13	{HomoSapiens}
 chromosome alignment-maintaining phosphoprotein	1	CHAMP1	__SEG__	Chr13	{HomoSapiens}
	gamma-glutamylaminecyclotransferase	GGACT	__SEG__	Chr13	{HomoSapiens}
 cysteinyl leukotriene receptor	2	CYSLTR2	__SEG__	Chr13	{HomoSapiens}
 putative UPF0607 protein	ENSP00000383144	LOC100129307	__SEG__	Chr13	{HomoSapiens}
 coiled-coil domain-containing protein 70	precursor	CCDC70	__SEG__	Chr13	{HomoSapiens}
 2-oxoglutarate receptor	1	OXGR1	__SEG__	Chr13	{HomoSapiens}
 ubiquitin conjugating enzyme E2	L5	UBE2L5	__SEG__	Chr13	{HomoSapiens}
