ID	adj.P.Val	P.Value	t	B	logFC	GB_ACC	GI	Gene.Symbol	SPOT_ID
11744248_a_at	0.00282	0.000486	-3.94	-0.559905	-0.357	DB302005		LRRC4C	
11736328_s_at	0.00291	0.000505	3.92	-0.597423	0.589	NM_199005.1		ZNF322	
11738284_at	0.00301	0.000525	-3.91	-0.634882	-1.72	BC093936.1		KRTAP13-2	
11721566_s_at	0.00314	0.000554	-3.89	-0.685534	-0.852	NM_014867.2		KBTBD11	
11723645_at	0.00322	0.000571	-3.88	-0.715204	-2.33	NM_002667.3		PLN	
11726718_a_at	0.00324	0.000577	3.87	-0.725074	0.313	BC007793.2		GEMIN7	
11763130_x_at	0.00328	0.000586	-3.87	-0.739216	-1.18	AY942020.1		IGKC	
11733266_a_at	0.00336	0.000602	-3.86	-0.766201	-0.196	AK300493.1		PIRT	
11735784_at	0.00349	0.000632	-3.84	-0.812954	-0.337	NM_000910.2		NPY2R	
11715867_x_at	0.00351	0.000636	-3.84	-0.819473	-0.571	NM_032477.2		MRPL41	
11740465_at	0.00354	0.000643	-3.83	-0.829679	-0.975	AF002986.1		GPR171	
11731425_at	0.00359	0.000654	3.82	-0.846008	0.449	M73969.1		CXCR2	
11743612_at	0.0036	0.000657	3.82	-0.85053	0.365	AI337102		ZNF830	
11724332_at	0.0037	0.000677	-3.81	-0.879604	-0.422	NM_001008739.1		C6orf226	
11759248_at	0.0037	0.000677	3.81	-0.879725	0.289	NM_003511.2		HIST1H2AL	
11729250_at	0.00371	0.00068	-3.81	-0.883924	-0.413	AF288390.1		B3GALT2	
11732795_at	0.00376	0.000692	-3.8	-0.900412	-0.543	NM_001097620.1		TMEM184A	
11742346_at	0.0038	0.0007	3.8	-0.91129	0.203	BC140750.1		OR4A5	
11728064_a_at	0.00382	0.000707	-3.8	-0.920669	-0.295	NM_001039966.1		GPER1	
11750247_x_at	0.00384	0.00071	-3.79	-0.924273	-0.285	AY265808.1		GPER1	
11758725_at	0.00393	0.000732	3.78	-0.95391	0.356	BQ071860		H1FX	
11720683_at	0.00399	0.000744	3.78	-0.970515	0.433	NM_080605.3		B3GALT6	
11731239_x_at	0.00403	0.000752	3.77	-0.9796	0.414	NM_024915.3		GRHL2	
11721202_at	0.00406	0.000759	-3.77	-0.989301	-0.774	NM_005615.4		RNASE6	
11727923_at	0.00413	0.000777	-3.76	-1.011111	-0.353	DB577646		PURA	
11738687_at	0.00423	0.000798	-3.75	-1.037556	-0.216	BC136992.1		OR5T1	
11721336_at	0.00434	0.000823	-3.74	-1.06644	-0.55	NM_012317.2		LDOC1	
11724861_at	0.00437	0.000829	3.74	-1.07443	0.365	NM_024838.4		THNSL1	
11749786_x_at	0.00442	0.000843	3.73	-1.089962	0.369	AK296696.1		HNRNPF	
11746534_a_at	0.00447	0.000854	-3.72	-1.10245	-0.33	BC109112.2		TLR10	
11755529_s_at	0.00448	0.000855	3.72	-1.10319	0.348	DQ786258.1		ZNF322	
11715564_s_at	0.0046	0.000883	-3.71	-1.134283	-0.488	NM_006026.2		H1FX	
11720026_a_at	0.00462	0.000889	3.71	-1.140784	0.483	NM_003378.3		VGF	
11743647_at	0.00463	0.000891	3.71	-1.14292	0.282	CR601032.1		HMGN4	
11723854_at	0.00468	0.000902	-3.7	-1.155338	-1.34	NM_017654.2		SAMD9	
11758247_x_at	0.00469	0.000903	-3.7	-1.156378	-0.395	BM719529		ARL4D	
11725473_a_at	0.00472	0.000912	-3.7	-1.165215	-0.784	AF347029.1		PAQR8	
11763127_x_at	0.00475	0.000918	-3.7	-1.171459	-0.368	L14458.1		IGKC	
11736210_at	0.00479	0.000929	3.69	-1.183067	0.487	AB049957.1		MRPL57	
11724871_a_at	0.00484	0.000939	3.69	-1.193427	1.56	NM_020384.2		CLDN2	
11757798_s_at	0.00488	0.000949	-3.69	-1.203772	-0.725	N21993		MAFB	
11731345_at	0.00499	0.000975	3.68	-1.229533	0.402	NM_001015072.3		UFSP1	
11737037_x_at	0.005	0.000977	-3.67	-1.231765	-0.872	BC071675.1		TCEAL6	
11736073_a_at	0.00507	0.000993	3.67	-1.246831	0.686	BT007418.1		ALDH1B1	
11740978_s_at	0.00508	0.000997	-3.67	-1.250805	-0.237	AK290769.1		MGAT1	
11746745_a_at	0.00525	0.00104	3.65	-1.288302	0.163	AF385590.1		CHRM4	
11727428_at	0.00528	0.00104	-3.65	-1.293475	-0.976	NM_004951.4		GPR183	
11749733_a_at	0.00528	0.00104	3.65	-1.294398	0.43	AK290579.1		JRKL	
11717816_at	0.00531	0.00105	3.65	-1.301629	0.234	AK292404.1		ZBTB5	
11728860_at	0.00539	0.00107	-3.64	-1.317971	-0.324	NM_080746.2		RPL10L	
11751978_a_at	0.00543	0.00108	3.64	-1.327824	0.433	BC040020.2		ZNF280B	
11720206_s_at	0.00545	0.00109	3.63	-1.33228	0.628	NM_012129.2		CLDN12	
11749713_a_at	0.00554	0.00111	3.63	-1.351879	0.264	AK299627.1		KBTBD6	
11744482_a_at	0.00562	0.00113	-3.62	-1.367983	-0.653	BC033550.1		TMEM246	
11729120_x_at	0.0057	0.00115	3.61	-1.384588	0.994	NM_005346.4		HSPA1B	
11718988_s_at	0.00571	0.00115	-3.61	-1.385754	-0.809	NM_002937.3		RNASE4	
11756894_a_at	0.0059	0.0012	3.6	-1.424755	0.968	AL832091.1		SPIN3	
11722918_a_at	0.00595	0.00121	-3.59	-1.434235	-1.16	NM_002252.3		KCNS3	
11722934_s_at	0.00602	0.00122	3.59	-1.447443	0.55	NM_001821.3		CHML	
11728318_at	0.00602	0.00123	-3.59	-1.448826	-0.258	AK126379.1		FAM122A	
11734294_at	0.00603	0.00123	3.59	-1.450655	0.457	NM_000525.3		KCNJ11	
11735230_at	0.00606	0.00123	3.59	-1.454923	0.272	NM_181727.1		SPATA12	
11737314_at	0.00606	0.00124	3.59	-1.456507	0.278	NM_003544.2		HIST1H4B	
11715950_a_at	0.00607	0.00124	-3.58	-1.458273	-0.766	AK057635.1		KCTD12	
11726903_at	0.00608	0.00124	-3.58	-1.458735	-0.542	NM_014817.3		TRIL	
11736213_at	0.00626	0.00128	3.57	-1.492296	0.538	BC023616.2		MRPL57	
11729828_at	0.00629	0.00129	-3.57	-1.499468	-0.421	AY937246.1		FAM110B	
11727584_a_at	0.00638	0.00131	3.56	-1.515325	0.55	BC146899.1		SPIN3	
11719477_a_at	0.00641	0.00132	3.56	-1.521768	0.412	NM_021826.4		FASTKD5	
11724169_s_at	0.00654	0.00136	3.55	-1.545254	0.337	BC119669.2		ZNF322	
11719425_at	0.00657	0.00136	3.55	-1.550787	0.307	BC140712.1		FAM220A	
11724872_a_at	0.00661	0.00137	3.55	-1.557924	1.67	BC014424.1		CLDN2	
11722277_s_at	0.0069	0.00145	3.53	-1.607244	0.429	BC167155.1		ZBED4	
11729713_x_at	0.00691	0.00145	3.52	-1.608576	0.426	NM_005988.2		SPRR2A	
11734409_x_at	0.00697	0.00146	3.52	-1.618605	0.307	NM_012184.4		FOXD4L1	
11737928_at	0.00702	0.00148	3.52	-1.627793	0.661	NM_001145652.1		C6orf141	
11730118_a_at	0.00706	0.00149	3.51	-1.63381	0.239	NM_006414.3		RPP38	
11746588_a_at	0.00706	0.00149	3.51	-1.6354	0.671	AK297020.1		ALDH1B1	
11727922_a_at	0.0071	0.0015	-3.51	-1.641946	-0.347	M96684.1		PURA	
11742468_at	0.00724	0.00154	3.5	-1.665556	0.404	NM_001080521.1		RASSF10	
11728152_a_at	0.00744	0.00159	-3.49	-1.696417	-0.93	NM_021063.2		HIST1H2BD	
11735418_at	0.00755	0.00162	3.48	-1.71532	1.09	NM_000864.4		HTR1D	
11743815_a_at	0.00762	0.00164	-3.48	-1.726834	-0.723	BE464297		S1PR1	
11758161_s_at	0.00767	0.00165	-3.47	-1.734122	-0.729	BX444701		MAGEH1	
11735662_a_at	0.00782	0.00169	-3.47	-1.757397	-0.455	U07225.1		P2RY2	
11729679_a_at	0.00808	0.00176	3.45	-1.795156	0.819	NM_018934.2		PCDHB14	
11718875_a_at	0.0083	0.00182	-3.44	-1.826596	-0.823	NM_006029.4		PNMA1	
11715321_x_at	0.00835	0.00184	-3.43	-1.834447	-0.205		238859648.0	KRTAP10-8	
11741809_at	0.0084	0.00185	3.43	-1.840376	0.238	NM_003535.2		HIST1H3J	
11715120_s_at	0.00842	0.00185	3.43	-1.844059	0.22		21396483.0	HIST1H2BE	
11727253_at	0.00847	0.00187	-3.43	-1.850789	-1.05	NM_080390.3		TCEAL2	
11739333_at	0.00855	0.00189	-3.42	-1.86206	-0.281	NM_001050.2		SSTR2	
11716979_a_at	0.00869	0.00193	-3.42	-1.881269	-0.337	NM_080670.2		SLC35A4	
11734598_x_at	0.0087	0.00193	3.41	-1.88356	0.268	NM_001034172.2		SLC25A52	
11726375_x_at	0.00872	0.00194	-3.41	-1.886352	-1.07	NM_001097579.1		GPR34	
11725971_a_at	0.00876	0.00195	3.41	-1.891893	0.514	BX433407		HNRNPF	
11754398_at	0.00906	0.00203	-3.4	-1.929591	-0.912	XM_927661.2		SMIM10	
11729151_at	0.00908	0.00203	3.39	-1.932189	0.4	AB028127.1		PIGM	
11740620_a_at	0.00927	0.00208	-3.39	-1.955521	-0.246	AK290236.1		CHRM2	
11751273_a_at	0.00928	0.00209	-3.38	-1.956584	-1.19	DQ106400.1		GPR34	
11759259_at	0.00935	0.00211	3.38	-1.965977	0.243	BC036401.1		C10orf111	
11725973_x_at	0.00963	0.00218	3.37	-1.999799	0.411	BX433407		HNRNPF	
11722275_s_at	0.00965	0.00219	3.37	-2.002958	0.371	NM_014838.2		ZBED4	
11733013_at	0.00982	0.00224	3.36	-2.023297	0.438	AL561777		PEX2	
11728580_x_at	0.0099	0.00226	3.35	-2.031329	0.468	NM_000683.3		ADRA2C	
11737153_at	0.0103	0.00236	-3.34	-2.07385	-0.868	NM_001145712.1		NUPR2	
11757853_s_at	0.0103	0.00237	-3.33	-2.079199	-0.724	AI084745		TWIST2	
11729471_x_at	0.0106	0.00246	3.32	-2.113696	0.201	DN994307		FAM181B	
11728310_a_at	0.0108	0.00253	3.31	-2.139189	0.371	NM_018348.5		CMTR2	
11731200_a_at	0.0108	0.00253	-3.31	-2.139877	-0.408	AF051151.1		TLR5	
11740550_s_at	0.011	0.00257	3.3	-2.154002	0.228	M76676.1		GPR135	
11716923_a_at	0.0111	0.0026	3.3	-2.16512	0.472	BU622486		PURB	
11738917_x_at	0.0111	0.0026	-3.3	-2.167378	-0.182	NM_176885.2		TAS2R31	
11762657_x_at	0.0112	0.00264	3.29	-2.181541	0.652	BC036917.1		C6orf141	
11743949_s_at	0.0114	0.0027	-3.28	-2.202733	-0.376	CA430832		FRAT1	
11730485_at	0.0115	0.00272	3.28	-2.209207	0.254	NM_032330.1		CAPNS2	
11730848_at	0.0116	0.00274	3.28	-2.215038	0.462	CB852981		ABHD13	
11740505_at	0.0118	0.00279	3.27	-2.232681	0.224	AB032600.1		GPR62	
11726453_at	0.0119	0.00284	3.27	-2.247622	0.557	NM_032862.3		TIGD5	
11746406_a_at	0.0119	0.00284	-3.27	-2.247651	-0.243	AW593255		TLR10	
11732615_at	0.0123	0.00295	-3.25	-2.284634	-0.29	NM_001012979.1		TCEAL5	
11741133_s_at	0.0127	0.00305	3.24	-2.316809	0.391	NM_001098205.1		HNRNPF	
11729150_at	0.0127	0.00307	3.23	-2.324507	0.409	NM_145167.2		PIGM	
11737370_at	0.0128	0.00308	3.23	-2.325602	0.125	BC112194.1		TAAR1	
11733919_s_at	0.0132	0.00321	-3.22	-2.364103	-0.277	BU623616		SERTAD2	
11736228_a_at	0.0135	0.00329	3.21	-2.388879	0.256	NM_153747.1		PIGC	
11715161_s_at	0.0137	0.00337	3.2	-2.411075	0.224		31791015.0	KRTAP21-2	
11726877_at	0.0138	0.0034	3.2	-2.418641	0.714	NM_005268.2		GJB5	
11720634_a_at	0.0139	0.00342	3.19	-2.424194	0.216	NM_001142928.1		LRRC61	
11735839_at	0.0139	0.00342	-3.19	-2.425684	-0.711	NM_001001850.1		STX19	
11733498_at	0.0142	0.00351	-3.18	-2.448368	-0.182	NM_005296.2		LPAR4	
11722705_at	0.0146	0.00364	-3.17	-2.483825	-0.645	NM_032047.4		B3GNT5	
11715119_s_at	0.0151	0.00379	3.15	-2.522204	1.19		157278360.0	C2CD4B	
11738171_at	0.0154	0.00387	3.14	-2.540937	0.312	NM_153244.1		C10orf111	
11728504_a_at	0.0156	0.00394	-3.14	-2.558549	-0.451	NM_000710.2		BDKRB1	
11738916_at	0.0157	0.00397	-3.13	-2.565155	-0.159	NM_176885.2		TAS2R31	
11722935_x_at	0.0157	0.00398	3.13	-2.567017	0.439	NM_001821.3		CHML	
11738438_at	0.016	0.00406	3.12	-2.586147	0.311	BC101583.1		HIST1H1B	
11732411_x_at	0.0161	0.00408	-3.12	-2.591451	-0.187	AK289588.1		GPER1	
11724827_at	0.0165	0.00421	-3.11	-2.621432	-0.221	NM_017622.2		BORCS6	
11742630_at	0.0168	0.00429	3.1	-2.639168	0.172	NM_001004058.2		OR8K5	
11740533_at	0.0176	0.00453	3.08	-2.689507	0.191	BC101744.1		KRTAP5-9	
11726096_s_at	0.0182	0.00475	3.06	-2.734246	0.284	AL832554.1		RBMXL1	
11728008_x_at	0.0186	0.00487	-3.05	-2.757956	-0.376	NM_000149.3		FUT3	
11737117_at	0.0188	0.00492	-3.05	-2.768001	-0.228	BC063113.1		PABPC5	
11726095_at	0.0189	0.00498	3.04	-2.778146	0.374	AL832554.1		RBMXL1	
11716924_s_at	0.0191	0.00502	3.04	-2.785535	0.326	NM_033224.3		PURB	
11757573_s_at	0.0195	0.00516	-3.03	-2.811442	-0.518	BM992121		FZD5	
11763292_at	0.0197	0.00521	-3.03	-2.821263	-0.256	BQ772531		ENDOV	
11723050_a_at	0.0197	0.00523	3.02	-2.825127	1.01	BC035665.1		HSPA6	
11727713_at	0.0197	0.00524	-3.02	-2.826487	-0.41	BC027982.1		KCNJ12	
11735184_at	0.0201	0.00536	3.01	-2.847488	0.302	NM_058219.2		EXOSC6	
11720442_at	0.0202	0.00538	-3.01	-2.850761	-0.251	NM_178511.3		INAFM1	
11727924_at	0.0207	0.00555	-3.0	-2.88054	-0.314	NM_005859.3		PURA	
11754232_a_at	0.0211	0.00568	2.99	-2.902325	0.329	BM679740		CMTR2	
11726374_a_at	0.0213	0.00574	-2.99	-2.912838	-0.614	NM_001097579.1		GPR34	
11758555_s_at	0.0214	0.00577	-2.98	-2.917429	-1.05	BF941117		GPR183	
11743816_s_at	0.0214	0.00578	-2.98	-2.918247	-0.811	BE464297		S1PR1	
11752256_a_at	0.0216	0.00583	2.98	-2.926329	0.323	BC139836.1		RBM15B	
11731334_a_at	0.0216	0.00584	-2.98	-2.92765	-0.396	NM_005683.3		GPR55	
11735975_at	0.0218	0.0059	2.98	-2.937261	0.197	NM_176817.3		TAS2R38	
11742577_at	0.022	0.00596	2.97	-2.947395	0.152	NM_001005493.1		OR6C6	
11729470_at	0.0221	0.00599	2.97	-2.951986	0.159	DN994307		FAM181B	
11727084_at	0.0224	0.00611	-2.96	-2.970112	-0.825	BC071703.1		GJB2	
11757518_a_at	0.0225	0.00614	-2.96	-2.974528	-0.296	AA031356		COX14	
11737552_at	0.023	0.00634	-2.95	-3.004585	-0.157	NM_020981.2		B3GALT1	
11728982_at	0.0238	0.00658	-2.93	-3.039856	-0.167	NM_001007090.2		C8orf48	
11754397_at	0.0241	0.00669	-2.92	-3.054693	-0.28	BM904023		SMIM10	
11730911_at	0.0245	0.00682	2.92	-3.072562	0.429	NM_005987.2		SPRR1A	
11720276_s_at	0.0246	0.00684	-2.92	-3.076321	-0.232	NM_016381.3		TREX1	
11738682_x_at	0.0247	0.0069	2.91	-3.083945	0.161	BC136843.1		OR13C5	
11745325_a_at	0.0248	0.00693	2.91	-3.087667	0.253	BC125273.1		ZNF497	
11759363_at	0.0248	0.00693	2.91	-3.087852	0.201	AK294965.1		ZNF391	
11720002_at	0.0249	0.00697	-2.91	-3.094072	-0.615	NM_001004354.2		NRARP	
11723051_at	0.0253	0.00708	-2.9	-3.108235	-1.17	NM_005130.3		FGFBP1	
11726157_at	0.026	0.00734	2.89	-3.141776	0.17	BC112360.1		SPIN4	
11728325_at	0.0261	0.00737	-2.89	-3.145053	-0.278	NM_152275.3		TTC30A	
11722006_a_at	0.0262	0.00741	2.88	-3.150924	0.316	NM_022480.3		KLHL25	
11721629_a_at	0.0264	0.00746	-2.88	-3.157008	-0.606	BC028098.1		MAFB	
11730927_x_at	0.0265	0.0075	-2.88	-3.162348	-0.491	NM_000511.5		FUT2	
11758319_x_at	0.0272	0.00774	-2.86	-3.191384	-0.189	BF672950		UBC	
11720611_a_at	0.0281	0.00805	-2.85	-3.227361	-0.645	NM_153757.2		NAP1L5	
11728067_at	0.0283	0.00811	-2.85	-3.235027	-0.226	NM_004778.2		PTGDR2	
11756922_a_at	0.0285	0.00819	2.84	-3.243227	0.279	CR625381.1		VASN	
11744735_a_at	0.0285	0.00821	-2.84	-3.245767	-1.14	BC044246.1		TMEM200A	
11751351_x_at	0.0286	0.00823	-2.84	-3.248581	-0.16	AK294400.1		MYADM	
11746046_a_at	0.0287	0.00827	2.84	-3.253091	0.189	AK302885.1		UBQLN2	
11741447_s_at	0.0293	0.00848	-2.83	-3.276185	-0.674	D37931.1		RNASE4	
11721895_x_at	0.0298	0.00868	-2.82	-3.298196	-1.39	NM_002048.2		GAS1	
11758246_s_at	0.0303	0.00885	-2.81	-3.315927	-0.266	BM719529		ARL4D	
11748516_a_at	0.0304	0.00887	-2.81	-3.317863	-0.522	BC104883.1		NAP1L5	
11728380_x_at	0.0304	0.0089	2.81	-3.320949	0.322	NM_199290.2		NACA2	
11734636_x_at	0.0306	0.00896	-2.8	-3.326778	-0.13	NM_198694.2		KRTAP10-5	
11744233_at	0.031	0.00909	-2.8	-3.340062	-0.381	AI091277		FZD8	
11719780_at	0.0311	0.00916	-2.8	-3.34755	-0.283	NM_024575.3		TNFAIP8L2	
11723644_a_at	0.0312	0.00917	-2.8	-3.348493	-1.34	BE968463		PLN	
11729712_at	0.0315	0.00928	2.79	-3.35937	0.355	NM_005988.2		SPRR2A	
11728153_x_at	0.0316	0.00934	-2.79	-3.36571	-0.881	NM_021063.2		HIST1H2BD	
11717137_s_at	0.0319	0.00942	-2.78	-3.373755	-0.277	NM_012121.4		CDC42EP4	
11752934_a_at	0.0321	0.0095	2.78	-3.381289	0.294	AK296817.1		GRHL2	
11727666_at	0.0326	0.00969	2.77	-3.399775	0.917	NM_000474.3		TWIST1	
11753847_x_at	0.0328	0.00975	2.77	-3.405066	0.186	AB180042.1		KRTAP21-3	
11751481_a_at	0.0332	0.00991	2.76	-3.420492	0.238	AK295541.1		PRMT6	
11732559_at	0.0332	0.00991	2.76	-3.42052	0.227	BE550368		RBM12B	
11720612_x_at	0.0334	0.00998	-2.76	-3.426783	-0.672	NM_153757.2		NAP1L5	
11728720_at	0.0338	0.0101	-2.75	-3.439963	-0.731	BC014261.2		RHOH	
11734536_a_at	0.034	0.0102	-2.75	-3.44759	-0.251	NM_000173.4		GP1BA	
11744914_s_at	0.0341	0.0102	-2.75	-3.449937	-0.563	AF274951.1		EID1	
11759524_at	0.0341	0.0103	2.75	-3.45176	0.141	AI857458		UCN	
11758064_s_at	0.0343	0.0103	-2.75	-3.455827	-0.702	BX099164		FZD8	
11730393_at	0.0346	0.0104	2.74	-3.467006	0.251	NM_005282.2		GPR4	
11716291_s_at	0.0351	0.0106	2.74	-3.481312	0.333	BQ230183		HNRNPA0	
11720498_at	0.0354	0.0107	-2.73	-3.491245	-0.697	AL567387		CDC42EP3	
11759198_at	0.0355	0.0107	-2.73	-3.494353	-0.759	DB297232		RAB9B	
11737334_a_at	0.0366	0.0112	2.71	-3.530187	0.704	NM_001143668.1		AMIGO2	
11724718_a_at	0.0368	0.0112	2.71	-3.534691	0.251	NM_014015.3		DEXI	
11739442_s_at	0.0368	0.0112	2.71	-3.535035	0.233	NM_175884.3		CCDC71L	
11720992_a_at	0.0372	0.0114	-2.71	-3.548512	-0.206	BC013923.2		SOX2	
11725470_at	0.0373	0.0114	2.7	-3.549315	0.157	NM_015649.1		IRF2BP1	
11722598_s_at	0.0375	0.0115	-2.7	-3.555736	-0.612	NM_020311.2		ACKR3	
11744091_s_at	0.0375	0.0115	2.7	-3.556826	0.506	CB960634		ATXN7L3B	
11743696_at	0.0379	0.0117	-2.7	-3.570722	-0.281	CA412481		CLEC14A	
11735478_a_at	0.0379	0.0117	-2.7	-3.570869	-0.362	NM_021615.4		CHST6	
11731917_at	0.0382	0.0117	-2.69	-3.577605	-0.178	NM_002232.3		KCNA3	
11727085_s_at	0.0383	0.0118	-2.69	-3.580344	-0.763	BC071703.1		GJB2	
11731123_a_at	0.0383	0.0118	-2.69	-3.581269	-0.524	AK294359.1		TMEM200A	
11742583_at	0.0386	0.0119	-2.69	-3.59113	-0.175	NM_001005465.1		OR10G3	
11725526_at	0.0389	0.012	2.68	-3.599772	0.253	NM_018111.2		C19orf73	
11758043_s_at	0.0389	0.012	2.68	-3.600909	0.383	BX392943		IER2	
11721004_x_at	0.039	0.0121	-2.68	-3.603619	-0.379	BC006460.1		HEXIM1	
11738795_at	0.039	0.0121	2.68	-3.604501	0.152	NM_033187.1		KRTAP4-3	
11721630_at	0.0391	0.0121	-2.68	-3.607425	-0.643	CA771933		MAFB	
11720273_at	0.0397	0.0124	2.67	-3.624081	0.29	NM_032740.3		SFT2D3	
11755503_x_at	0.0397	0.0124	-2.67	-3.624623	-0.167	AK026846.1		UBC	
11735536_at	0.04	0.0125	-2.67	-3.631431	-0.197	NM_173658.1		ZNF660	
11732968_at	0.0403	0.0126	2.66	-3.639201	0.174	NM_003537.3		HIST1H3B	
11731238_at	0.0405	0.0126	2.66	-3.644815	0.233	NM_024915.3		GRHL2	
11743921_at	0.0406	0.0127	-2.66	-3.647389	-0.267	BG469280		TMEM125	
11733913_at	0.0407	0.0127	2.66	-3.651926	0.558	AF019386.1		HS3ST1	
11730941_a_at	0.0408	0.0128	-2.66	-3.653009	-0.283	NM_153606.2		FAM71A	
11752382_a_at	0.0412	0.0129	-2.65	-3.665599	-0.29	AK297005.1		S1PR1	
11741246_at	0.0415	0.013	2.65	-3.671136	0.196	BC113710.1		FOXB1	
11737461_at	0.0415	0.013	2.65	-3.67165	0.155	BC137220.1		LINGO4	
11737036_at	0.0418	0.0131	-2.64	-3.681373	-0.278	BC071675.1		TCEAL6	
11720108_at	0.0419	0.0132	2.64	-3.683133	0.206	NM_020457.2		THAP11	
11738725_at	0.0419	0.0132	2.64	-3.683327	0.134	BC136948.1		OR5B12	
11732759_at	0.0419	0.0132	-2.64	-3.685656	-0.45	NM_152687.2		GAPT	
11722112_at	0.042	0.0132	-2.64	-3.688292	-0.873	AF284095.1		ADRA2A	
11735159_x_at	0.0421	0.0133	2.64	-3.68974	0.21	NM_145044.2		ZNF501	
11728826_s_at	0.0423	0.0133	2.64	-3.694746	0.924	BC069216.1		TRNP1	
11729763_a_at	0.0428	0.0135	2.63	-3.708893	0.224	NM_032881.1		LSM10	
11758765_at	0.0428	0.0136	2.63	-3.709455	0.144	BC096121.2		HIST2H2BE	
11757490_s_at	0.0429	0.0136	-2.63	-3.710365	-0.3	BG115618		TSPYL1	
11745977_a_at	0.0432	0.0137	2.63	-3.720786	0.212	BC067361.1		SOX12	
11734612_at	0.0436	0.0139	2.62	-3.731784	0.201	NM_198687.1		KRTAP10-4	
11742737_a_at	0.044	0.014	-2.62	-3.739835	-0.364	NM_004251.3		RAB9A	
11753904_a_at	0.0441	0.0141	2.62	-3.744648	0.261	AF098290.1		CDC42EP2	
11719899_at	0.0442	0.0141	-2.62	-3.744839	-0.863	NM_001145033.1		C11orf96	
11724140_a_at	0.0443	0.0141	-2.61	-3.747608	-0.255	NM_175918.3		CRIPAK	
11729775_at	0.045	0.0144	-2.6	-3.766834	-0.219	BC098574.1		PCDHB7	
11758690_s_at	0.0452	0.0145	-2.6	-3.770036	-0.307	BG231499		CRIPAK	
11753830_a_at	0.0454	0.0146	-2.6	-3.776158	-0.194	BT006799.1		MLLT11	
11731128_x_at	0.0456	0.0146	2.6	-3.779644	0.223	NM_033412.3		SLC25A51	
11727881_at	0.0458	0.0147	-2.6	-3.785573	-0.327	BQ014497		BBS12	
11741215_at	0.0464	0.015	2.59	-3.79962	0.177	BC125140.1		HIST1H2AB	
11738824_a_at	0.0464	0.015	-2.59	-3.800665	-0.188	NM_153330.2		DNAJB8	
11736274_at	0.0465	0.015	2.59	-3.801115	0.219	NM_003264.3		TLR2	
11715183_s_at	0.0468	0.0151	2.58	-3.809453	0.149		115583659.0	ZNF391	
11736295_at	0.0469	0.0152	2.58	-3.812241	0.301	DB367808		FGFBP3	
11721003_at	0.0474	0.0153	-2.58	-3.821941	-0.296	BC006460.1		HEXIM1	
11755719_a_at	0.0478	0.0155	-2.57	-3.832046	-0.624	AK057755.1		MLLT11	
11758377_s_at	0.0479	0.0155	-2.57	-3.833507	-0.627	BU623316		TLR1	
11758766_x_at	0.0484	0.0157	2.57	-3.84603	0.142	BC096121.2		HIST2H2BE	
11726618_a_at	0.0486	0.0158	2.57	-3.850907	0.451	BC050441.1		C1GALT1C1	
11715760_x_at	0.0487	0.0159	-2.56	-3.852585	-0.36	NM_001001.3		RPL36AL	
11736299_at	0.0488	0.0159	-2.56	-3.855329	-0.426	BC033571.2		LPAR5	
11745281_at	0.0503	0.0165	2.55	-3.888209	0.418	BC019340.1		LOC100287896	
11756359_s_at	0.0506	0.0166	2.54	-3.894702	0.644	CR590957.1		ADRA2C	
11728599_a_at	0.0507	0.0167	2.54	-3.897714	0.388	NM_001008489.2		PHOSPHO2	
11721176_at	0.0508	0.0167	2.54	-3.899752	0.347	NM_014811.3		PPP1R26	
11721198_a_at	0.0509	0.0167	-2.54	-3.901025	-0.267	NM_181724.2		TMEM119	
11724122_a_at	0.0509	0.0167	-2.54	-3.90245	-0.311	NM_025246.2		SLC35G2	
11729764_s_at	0.051	0.0168	2.54	-3.903878	0.282	NM_032881.1		LSM10	
11715102_x_at	0.051	0.0168	2.54	-3.90415	0.482		21264570.0	HIST1H3G	
11726246_x_at	0.0512	0.0169	2.54	-3.90902	0.239	BC054014.1		HIST1H4C	
11755286_at	0.0517	0.0171	2.53	-3.919798	0.379	AK315452.1		FAM200A	
11737284_x_at	0.0517	0.0171	2.53	-3.920499	0.183	NM_176889.2		TAS2R20	
11741794_s_at	0.0522	0.0173	2.53	-3.930121	0.176	NM_175054.2		HIST4H4	
11738963_at	0.0526	0.0174	2.52	-3.938645	0.133	NM_198697.2		KRTAP12-3	
11733368_at	0.053	0.0176	2.52	-3.946232	0.257	NM_003495.2		HIST1H4I	
11744035_x_at	0.0532	0.0176	2.52	-3.95006	0.173	BF026472		ZNF358	
11745810_a_at	0.0533	0.0177	2.52	-3.953855	0.198	AK292691.1		KIAA0040	
11730236_s_at	0.0536	0.0178	-2.51	-3.960746	-0.519	AY358582.1		MYADM	
11757996_s_at	0.0539	0.018	2.51	-3.966738	0.199	AI040903		FKBPL	
11735574_at	0.0546	0.0183	2.5	-3.98161	0.11	NM_173699.2		MAGEB18	
11725796_x_at	0.0546	0.0183	-2.5	-3.981699	-0.174	NM_004230.3		S1PR2	
11738689_x_at	0.0548	0.0183	-2.5	-3.98417	-0.147	BC136992.1		OR5T1	
11749583_a_at	0.0552	0.0185	-2.5	-3.994482	-0.399	AK290277.1		FUT2	
11731080_at	0.0555	0.0186	2.5	-3.999536	0.186	NM_032554.3		HCAR1	
11715100_at	0.0556	0.0187	2.49	-4.002412	0.516		21264570.0	HIST1H3G	
