GeneName	count	Gene stable ID	Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name	Transcript count	Transcript length (including UTRs and CDS)	Length/#Mod
PACSIN2	13	ENSG00000100266	ENSG00000100266.19	22	42835412	43015149	-1	PACSIN2	12	3251	250.07692307692307
MCM6	15	ENSG00000076003	ENSG00000076003.5	2	135839626	135876443	-1	MCM6	3	3753	250.2
BST2	4	ENSG00000130303	ENSG00000130303.14	19	17402939	17405630	-1	BST2	3	1001	250.25
PCBP2P2	4	ENSG00000253341	ENSG00000253341.1	8	74603244	74604244	-1	PCBP2P2	1	1001	250.25
RING1	7	ENSG00000228520	ENSG00000228520.3	HSCHR6_MHC_DBB_CTG1	4451994	4456221	1	RING1	2	1752	250.28571428571428
UBA2	16	ENSG00000126261	ENSG00000126261.13	19	34428352	34471251	1	UBA2	10	4005	250.3125
SH3BGRL3	3	ENSG00000142669	ENSG00000142669.15	1	26280086	26281522	1	SH3BGRL3	2	751	250.33333333333334
DCLRE1B	15	ENSG00000118655	ENSG00000118655.8	1	113904619	113914086	1	DCLRE1B	6	3755	250.33333333333334
FAM89A	6	ENSG00000182118	ENSG00000182118.8	1	231018958	231040254	-1	FAM89A	3	1503	250.5
CAMSAP1	32	ENSG00000130559	ENSG00000130559.19	9	135808487	135907546	-1	CAMSAP1	10	8018	250.5625
CCNQ	5	ENSG00000262919	ENSG00000262919.8	X	153587925	153600045	-1	CCNQ	9	1253	250.6
NSRP1	10	ENSG00000126653	ENSG00000126653.18	17	30115521	30186475	1	NSRP1	17	2506	250.6
PPP1R10	18	ENSG00000204569	ENSG00000204569.10	6	30600413	30618612	-1	PPP1R10	7	4511	250.61111111111111
SIVA1	3	ENSG00000184990	ENSG00000184990.13	14	104753147	104768494	1	SIVA1	8	752	250.66666666666666
PCYOX1L	10	ENSG00000145882	ENSG00000145882.11	5	149358037	149369653	1	PCYOX1L	7	2507	250.7
PLPBP	10	ENSG00000147471	ENSG00000147471.12	8	37762595	37779768	1	PLPBP	9	2507	250.7
CHID1	13	ENSG00000177830	ENSG00000177830.18	11	867859	915058	-1	CHID1	24	3260	250.76923076923077
RRN3	15	ENSG00000278494	ENSG00000278494.2	HSCHR16_1_CTG1	575359	609658	1	RRN3	6	3762	250.8
NFIC	32	ENSG00000141905	ENSG00000141905.19	19	3314403	3469217	1	NFIC	11	8029	250.90625
KCNN2	11	ENSG00000080709	ENSG00000080709.17	5	114055926	114496500	1	KCNN2	9	2760	250.9090909090909
ZNF655	18	ENSG00000197343	ENSG00000197343.11	7	99558406	99576453	1	ZNF655	25	4518	251.0
COQ5	6	ENSG00000110871	ENSG00000110871.15	12	120503279	120534434	-1	COQ5	8	1506	251.0
SNN	13	ENSG00000184602	ENSG00000184602.6	16	11668455	11679152	1	SNN	1	3264	251.07692307692307
EIF4A1	7	ENSG00000161960	ENSG00000161960.16	17	7572824	7579006	1	EIF4A1	36	1758	251.14285714285714
KCTD3	16	ENSG00000136636	ENSG00000136636.13	1	215567304	215621807	1	KCTD3	5	4019	251.1875
NDUFA6	5	ENSG00000272765	ENSG00000272765.2	HSCHR22_1_CTG1	7870	13300	-1	NDUFA6	2	1256	251.2
ILK	7	ENSG00000166333	ENSG00000166333.14	11	6603708	6610874	1	ILK	16	1759	251.28571428571428
PPIH	3	ENSG00000171960	ENSG00000171960.12	1	42658335	42676758	1	PPIH	20	754	251.33333333333334
NACC1	18	ENSG00000160877	ENSG00000160877.7	19	13116862	13141147	1	NACC1	4	4524	251.33333333333334
RUNDC1	21	ENSG00000198863	ENSG00000198863.8	17	42980565	42995142	1	RUNDC1	3	5280	251.42857142857142
IQCC	8	ENSG00000160051	ENSG00000160051.12	1	32205671	32208682	1	IQCC	3	2012	251.5
TMX1	16	ENSG00000139921	ENSG00000139921.13	14	51240162	51257655	1	TMX1	3	4025	251.5625
SLIT2	32	ENSG00000145147	ENSG00000145147.20	4	20251905	20620561	1	SLIT2	12	8053	251.65625
PDIA3P1	6	ENSG00000180867	ENSG00000180867.12	1	147178113	147179622	1	PDIA3P1	1	1510	251.66666666666666
TARBP2	6	ENSG00000139546	ENSG00000139546.12	12	53500921	53506431	1	TARBP2	21	1510	251.66666666666666
KIFC2	13	ENSG00000167702	ENSG00000167702.13	8	144466043	144474202	1	KIFC2	9	3272	251.69230769230768
DDIAS	14	ENSG00000165490	ENSG00000165490.13	11	82899975	82958277	1	DDIAS	12	3524	251.71428571428572
PMF1-BGLAP	4	ENSG00000260238	ENSG00000260238.6	1	156212982	156243332	1	PMF1-BGLAP	4	1007	251.75
RARA	13	ENSG00000131759	ENSG00000131759.18	17	40309180	40357643	1	RARA	10	3275	251.92307692307693
DESI1	15	ENSG00000100418	ENSG00000100418.8	22	41598028	41621043	-1	DESI1	4	3780	252.0
NQO1	10	ENSG00000181019	ENSG00000181019.13	16	69706996	69726668	-1	NQO1	7	2521	252.1
PPCS	9	ENSG00000127125	ENSG00000127125.9	1	42456117	42473385	1	PPCS	8	2269	252.11111111111111
GLOD4	7	ENSG00000167699	ENSG00000167699.14	17	757097	782294	-1	GLOD4	18	1765	252.14285714285714
CBX6	24	ENSG00000183741	ENSG00000183741.12	22	38861422	38872249	-1	CBX6	3	6052	252.16666666666666
NUDT18	6	ENSG00000275074	ENSG00000275074.3	8	22105748	22109419	-1	NUDT18	2	1513	252.16666666666666
SACS	62	ENSG00000151835	ENSG00000151835.17	13	23288689	23433763	-1	SACS	23	15635	252.17741935483872
CLDN12	14	ENSG00000157224	ENSG00000157224.16	7	90383721	90513402	1	CLDN12	15	3533	252.35714285714286
PUM2	25	ENSG00000055917	ENSG00000055917.17	2	20248691	20352234	-1	PUM2	10	6309	252.36
ZSWIM3	11	ENSG00000132801	ENSG00000132801.7	20	45857614	45879122	1	ZSWIM3	1	2776	252.36363636363637
GUSBP1	3	ENSG00000183666	ENSG00000183666.20	5	21459560	21501826	1	GUSBP1	1	758	252.66666666666666
MET	27	ENSG00000105976	ENSG00000105976.16	7	116672196	116798377	1	MET	7	6822	252.66666666666666
UCK2	19	ENSG00000143179	ENSG00000143179.16	1	165827614	165911618	1	UCK2	9	4801	252.68421052631578
MARCKS	17	ENSG00000277443	ENSG00000277443.3	6	113857345	113863475	1	MARCKS	1	4296	252.7058823529412
POLL	11	ENSG00000166169	ENSG00000166169.17	10	101578882	101588270	-1	POLL	17	2781	252.8181818181818
TNS3	30	ENSG00000136205	ENSG00000136205.18	7	47275154	47582558	-1	TNS3	15	7585	252.83333333333334
NDC1	18	ENSG00000058804	ENSG00000058804.12	1	53765478	53838463	-1	NDC1	2	4552	252.88888888888889
USP38	28	ENSG00000170185	ENSG00000170185.12	4	143184917	143225212	1	USP38	9	7081	252.89285714285714
SPDL1	10	ENSG00000040275	ENSG00000040275.17	5	169583636	169604778	1	SPDL1	16	2529	252.9
RPS20P10	1	ENSG00000233971	ENSG00000233971.1	2	71984182	71984434	-1	RPS20P10	1	253	253.0
RUSF1	11	ENSG00000140688	ENSG00000140688.18	16	31489471	31509309	-1	RUSF1	10	2785	253.1818181818182
ZNF875	11	ENSG00000181666	ENSG00000181666.19	19	37312837	37369365	1	ZNF875	28	2785	253.1818181818182
TTC28-AS1	20	ENSG00000235954	ENSG00000235954.10	22	27919303	28008581	1	TTC28-AS1	56	5064	253.2
CBR3-AS1	3	ENSG00000236830	ENSG00000236830.9	21	36098090	36175815	-1	CBR3-AS1	53	760	253.33333333333334
PCGF3	20	ENSG00000185619	ENSG00000185619.19	4	705748	770089	1	PCGF3	13	5067	253.35
UBE2A	7	ENSG00000077721	ENSG00000077721.17	X	119474802	119591083	1	UBE2A	14	1776	253.71428571428572
PARP9	12	ENSG00000138496	ENSG00000138496.17	3	122527924	122564577	-1	PARP9	8	3045	253.75
RHBDD3	7	ENSG00000100263	ENSG00000100263.14	22	29259872	29268209	-1	RHBDD3	7	1777	253.85714285714286
NOTCH2	45	ENSG00000134250	ENSG00000134250.21	1	119911553	120100779	-1	NOTCH2	11	11425	253.88888888888889
ZFAND5	23	ENSG00000107372	ENSG00000107372.13	9	72351413	72365235	-1	ZFAND5	8	5841	253.95652173913044
LRPPRC	26	ENSG00000138095	ENSG00000138095.20	2	43886224	43996226	-1	LRPPRC	71	6603	253.96153846153845
KMT5C	9	ENSG00000133247	ENSG00000133247.14	19	55339853	55348121	1	KMT5C	12	2286	254.0
CYSRT1	3	ENSG00000197191	ENSG00000197191.7	9	137225174	137226315	1	CYSRT1	1	762	254.0
SLC25A20	7	ENSG00000178537	ENSG00000178537.10	3	48856926	48898904	-1	SLC25A20	4	1778	254.0
ZMYM4	29	ENSG00000146463	ENSG00000146463.12	1	35268709	35422058	1	ZMYM4	6	7366	254.0
NELFB	10	ENSG00000188986	ENSG00000188986.9	9	137255327	137273542	1	NELFB	1	2540	254.0
PAN3	22	ENSG00000152520	ENSG00000152520.14	13	28138506	28295335	1	PAN3	4	5590	254.0909090909091
TM9SF3	24	ENSG00000077147	ENSG00000077147.16	10	96518110	96587452	-1	TM9SF3	7	6100	254.16666666666666
ATRIP	18	ENSG00000164053	ENSG00000164053.22	3	48446710	48467645	1	ATRIP	9	4576	254.22222222222223
MTF2	16	ENSG00000143033	ENSG00000143033.18	1	93079235	93139079	1	MTF2	14	4075	254.6875
NOL8	16	ENSG00000198000	ENSG00000198000.12	9	92297358	92325636	-1	NOL8	29	4075	254.6875
ZNF213	13	ENSG00000085644	ENSG00000085644.15	16	3129777	3142804	1	ZNF213	8	3311	254.69230769230768
CLDN3	5	ENSG00000165215	ENSG00000165215.6	7	73768997	73770270	-1	CLDN3	1	1274	254.8
XPOT	25	ENSG00000184575	ENSG00000184575.12	12	64404392	64451125	1	XPOT	6	6370	254.8
SLC52A2	9	ENSG00000285112	ENSG00000285112.5	HG2419_PATCH	64560	91889	1	SLC52A2	27	2294	254.88888888888889
INO80B-WBP1	8	ENSG00000274049	ENSG00000274049.4	2	74455088	74460884	1	INO80B-WBP1	2	2040	255.0
POLR1C	5	ENSG00000171453	ENSG00000171453.20	6	43509702	43562419	1	POLR1C	16	1275	255.0
ZNF18	9	ENSG00000154957	ENSG00000154957.14	17	11977439	11997475	-1	ZNF18	7	2295	255.0
GSPT1	28	ENSG00000103342	ENSG00000103342.13	16	11868128	11916082	-1	GSPT1	10	7141	255.03571428571428
DOT1L	30	ENSG00000104885	ENSG00000104885.19	19	2163933	2232578	1	DOT1L	9	7652	255.06666666666666
RPA1	19	ENSG00000132383	ENSG00000132383.12	17	1829702	1900082	1	RPA1	7	4847	255.10526315789474
SLC22A23	26	ENSG00000137266	ENSG00000137266.15	6	3268962	3457050	-1	SLC22A23	12	6634	255.15384615384616
RPL4P5	5	ENSG00000263127	ENSG00000263127.1	HSCHR9_1_CTG1	62864	64139	-1	RPL4P5	1	1276	255.2
PEMT	4	ENSG00000133027	ENSG00000133027.18	17	17505563	17591708	-1	PEMT	13	1021	255.25
ABHD8	8	ENSG00000127220	ENSG00000127220.6	19	17292131	17310236	-1	ABHD8	3	2042	255.25
ASS1	6	ENSG00000130707	ENSG00000130707.18	9	130444961	130501274	1	ASS1	10	1532	255.33333333333334
NUP43	15	ENSG00000120253	ENSG00000120253.14	6	149724315	149749665	-1	NUP43	6	3831	255.4
OSBPL11	18	ENSG00000144909	ENSG00000144909.8	3	125528858	125595497	-1	OSBPL11	1	4598	255.44444444444446
LETM1	21	ENSG00000168924	ENSG00000168924.15	4	1811479	1856156	-1	LETM1	7	5371	255.76190476190476
HMGXB4	16	ENSG00000100281	ENSG00000100281.14	22	35257452	35295807	1	HMGXB4	8	4095	255.9375
CCNH	5	ENSG00000134480	ENSG00000134480.17	5	87318416	87413029	-1	CCNH	14	1280	256.0
TAX1BP3	5	ENSG00000213977	ENSG00000213977.8	17	3662895	3668679	-1	TAX1BP3	2	1280	256.0
VASN	11	ENSG00000168140	ENSG00000168140.5	16	4371848	4383538	1	VASN	1	2816	256.0
UNG	8	ENSG00000076248	ENSG00000076248.12	12	109097597	109126725	1	UNG	14	2048	256.0
EMD	5	ENSG00000102119	ENSG00000102119.12	X	154379273	154381574	1	EMD	16	1281	256.2
SLC30A1	23	ENSG00000170385	ENSG00000170385.10	1	211571568	211579161	-1	SLC30A1	1	5893	256.2173913043478
RSBN1L	25	ENSG00000187257	ENSG00000187257.16	7	77696459	77783022	1	RSBN1L	6	6406	256.24
STX5	7	ENSG00000162236	ENSG00000162236.13	11	62806860	62832051	-1	STX5	9	1794	256.2857142857143
CCNT2	27	ENSG00000082258	ENSG00000082258.13	2	134918235	134959342	1	CCNT2	10	6920	256.2962962962963
TIMP1	3	ENSG00000102265	ENSG00000102265.12	X	47582408	47586789	1	TIMP1	5	769	256.3333333333333
TEX10	12	ENSG00000136891	ENSG00000136891.14	9	100302077	100352942	-1	TEX10	4	3077	256.4166666666667
PRTN3	4	ENSG00000277804	ENSG00000277804.4	HSCHR19_5_CTG2	19803	27018	1	PRTN3	2	1026	256.5
XRCC3	10	ENSG00000126215	ENSG00000126215.14	14	103697609	103715504	-1	XRCC3	18	2567	256.7
GPAA1	8	ENSG00000197858	ENSG00000197858.12	8	144082337	144093149	1	GPAA1	72	2054	256.75
EXTL2	11	ENSG00000162694	ENSG00000162694.14	1	100872372	100895179	-1	EXTL2	7	2825	256.8181818181818
MIIP	6	ENSG00000116691	ENSG00000116691.11	1	12019466	12032045	1	MIIP	7	1541	256.8333333333333
DAPK1	23	ENSG00000196730	ENSG00000196730.13	9	87497228	87708634	1	DAPK1	19	5912	257.04347826086956
STAM	15	ENSG00000136738	ENSG00000136738.15	10	17644151	17716824	1	STAM	5	3856	257.06666666666666
KMT2B	33	ENSG00000272333	ENSG00000272333.8	19	35717973	35738880	1	KMT2B	29	8485	257.1212121212121
C19orf44	13	ENSG00000105072	ENSG00000105072.9	19	16496394	16521352	1	C19orf44	8	3346	257.38461538461536
KCNK1	8	ENSG00000135750	ENSG00000135750.15	1	233614106	233672514	1	KCNK1	6	2061	257.625
SMPD4	19	ENSG00000292130	ENSG00000292130.1	HSCHR2_12_CTG7_2	327940	359302	-1	SMPD4	27	4896	257.6842105263158
UBN1	25	ENSG00000118900	ENSG00000118900.15	16	4846665	4882401	1	UBN1	9	6443	257.72
PEX10	11	ENSG00000157911	ENSG00000157911.11	1	2403964	2413797	-1	PEX10	9	2835	257.72727272727275
BICD2	25	ENSG00000185963	ENSG00000185963.14	9	92711363	92764833	-1	BICD2	2	6448	257.92
ATP5MFP5	1	ENSG00000256103	ENSG00000256103.2	12	6270168	6270425	-1	ATP5MFP5	1	258	258.0
SLC25A1	6	ENSG00000100075	ENSG00000100075.10	22	19175581	19178739	-1	SLC25A1	5	1548	258.0
MXD4	15	ENSG00000123933	ENSG00000123933.17	4	2247432	2262109	-1	MXD4	5	3871	258.06666666666666
FOSL2	26	ENSG00000075426	ENSG00000075426.12	2	28392448	28417317	1	FOSL2	4	6713	258.1923076923077
AP2A1	13	ENSG00000196961	ENSG00000196961.13	19	49767001	49807114	1	AP2A1	8	3357	258.2307692307692
SMG7	23	ENSG00000116698	ENSG00000116698.22	1	183472216	183598246	1	SMG7	16	5946	258.5217391304348
DUSP7	13	ENSG00000164086	ENSG00000164086.10	3	52048919	52056571	-1	DUSP7	2	3361	258.53846153846155
NFYA	24	ENSG00000001167	ENSG00000001167.15	6	41072974	41102403	1	NFYA	2	6209	258.7083333333333
C3orf33	7	ENSG00000174928	ENSG00000174928.16	3	155762617	155806278	-1	C3orf33	5	1811	258.7142857142857
SHQ1	11	ENSG00000144736	ENSG00000144736.14	3	72749277	72861914	-1	SHQ1	8	2846	258.72727272727275
UBA52	11	ENSG00000221983	ENSG00000221983.8	19	18571730	18577550	1	UBA52	14	2848	258.90909090909093
H3C15	2	ENSG00000203852	ENSG00000203852.4	1	149852608	149853125	1	H3C15	1	518	259.0
COPS3	7	ENSG00000141030	ENSG00000141030.13	17	17246616	17281273	-1	COPS3	18	1814	259.14285714285717
FBXO42	24	ENSG00000291375	ENSG00000291375.1	HG1343_HG173_HG459_PATCH	50977	156623	-1	FBXO42	4	6227	259.4583333333333
FPGT-TNNI3K	11	ENSG00000259030	ENSG00000259030.8	1	74198235	74544393	1	FPGT-TNNI3K	7	2855	259.54545454545456
RNF13	9	ENSG00000082996	ENSG00000082996.20	3	149812770	149962139	1	RNF13	16	2336	259.55555555555554
MSH2	12	ENSG00000095002	ENSG00000095002.16	2	47403067	47663146	1	MSH2	14	3115	259.5833333333333
DICER1	40	ENSG00000100697	ENSG00000100697.17	14	95086228	95158010	-1	DICER1	33	10384	259.6
PLEKHG2	31	ENSG00000090924	ENSG00000090924.15	19	39412669	39428415	1	PLEKHG2	16	8048	259.61290322580646
GGA2	23	ENSG00000103365	ENSG00000103365.16	16	23462213	23521995	-1	GGA2	17	5973	259.69565217391306
SMAD5	27	ENSG00000113658	ENSG00000113658.18	5	136132845	136188747	1	SMAD5	12	7013	259.74074074074076
GTF2A2	6	ENSG00000140307	ENSG00000140307.11	15	59638062	59657541	-1	GTF2A2	10	1559	259.8333333333333
ZNF75A	11	ENSG00000162086	ENSG00000162086.16	16	3305406	3318852	1	ZNF75A	11	2859	259.90909090909093
CDC25B	12	ENSG00000101224	ENSG00000101224.18	20	3786772	3806121	1	CDC25B	9	3119	259.9166666666667
NHP2	3	ENSG00000145912	ENSG00000145912.10	5	178149463	178153894	-1	NHP2	7	780	260.0
DBIP1	1	ENSG00000218748	ENSG00000218748.1	6	79436908	79437167	-1	DBIP1	1	260	260.0
PODXL	23	ENSG00000128567	ENSG00000128567.17	7	131500262	131558217	-1	PODXL	8	5986	260.2608695652174
CPD	36	ENSG00000108582	ENSG00000108582.12	17	30378927	30469989	1	CPD	10	9372	260.3333333333333
PPP1R16A	11	ENSG00000160972	ENSG00000160972.10	8	144477969	144502121	1	PPP1R16A	11	2864	260.3636363636364
ABHD10	10	ENSG00000144827	ENSG00000144827.9	3	111979010	111993368	1	ABHD10	5	2604	260.4
DYNC2I2	7	ENSG00000119333	ENSG00000119333.12	9	128633653	128656847	-1	DYNC2I2	6	1823	260.42857142857144
CLCN7	16	ENSG00000103249	ENSG00000103249.19	16	1444934	1475077	-1	CLCN7	16	4168	260.5
ADCY3	19	ENSG00000138031	ENSG00000138031.15	2	24819169	24920237	-1	ADCY3	13	4950	260.5263157894737
EAPP	5	ENSG00000129518	ENSG00000129518.10	14	34515938	34539704	-1	EAPP	4	1303	260.6
DDRGK1	5	ENSG00000198171	ENSG00000198171.13	20	3190350	3204685	-1	DDRGK1	4	1303	260.6
ZFC3H1	27	ENSG00000133858	ENSG00000133858.17	12	71609599	71667725	-1	ZFC3H1	12	7037	260.6296296296296
MAVS	45	ENSG00000088888	ENSG00000088888.18	20	3846799	3876123	1	MAVS	2	11731	260.68888888888887
ZBTB48	9	ENSG00000204859	ENSG00000204859.13	1	6579994	6589280	1	ZBTB48	8	2347	260.77777777777777
TNIP1	11	ENSG00000145901	ENSG00000145901.17	5	151029945	151093577	-1	TNIP1	20	2870	260.90909090909093
SRP9P1	1	ENSG00000180581	ENSG00000180581.7	10	91807179	91807439	-1	SRP9P1	1	261	261.0
APC	41	ENSG00000134982	ENSG00000134982.19	5	112707518	112846239	1	APC	14	10704	261.0731707317073
PSMD14	6	ENSG00000115233	ENSG00000115233.12	2	161308425	161411717	1	PSMD14	5	1567	261.1666666666667
TEFM	5	ENSG00000172171	ENSG00000172171.11	17	30897336	30906238	-1	TEFM	5	1306	261.2
MRPS35	7	ENSG00000061794	ENSG00000061794.13	12	27710822	27756295	1	MRPS35	5	1829	261.2857142857143
POFUT1	20	ENSG00000101346	ENSG00000101346.15	20	32207855	32238658	1	POFUT1	7	5226	261.3
ATG3	6	ENSG00000144848	ENSG00000144848.11	3	112532510	112562046	-1	ATG3	9	1568	261.3333333333333
PIWIL4	12	ENSG00000134627	ENSG00000134627.12	11	94543840	94621421	1	PIWIL4	5	3139	261.5833333333333
EAF1	17	ENSG00000144597	ENSG00000144597.14	3	15427598	15450635	1	EAF1	3	4447	261.5882352941176
SRSF7	9	ENSG00000115875	ENSG00000115875.19	2	38743599	38751494	-1	SRSF7	12	2356	261.77777777777777
CHAC2	5	ENSG00000143942	ENSG00000143942.5	2	53767804	53775196	1	CHAC2	1	1309	261.8
NCK1	17	ENSG00000158092	ENSG00000158092.7	3	136862208	136951606	1	NCK1	12	4451	261.8235294117647
SETD7	26	ENSG00000145391	ENSG00000145391.14	4	139495941	139606699	-1	SETD7	7	6808	261.84615384615387
SREBF2	20	ENSG00000198911	ENSG00000198911.13	22	41833105	41907306	1	SREBF2	9	5237	261.85
ELMO2	14	ENSG00000062598	ENSG00000062598.18	20	46366050	46432985	-1	ELMO2	18	3666	261.85714285714283
EHD1	17	ENSG00000110047	ENSG00000110047.18	11	64851642	64888296	-1	EHD1	13	4453	261.94117647058823
MTSS2	19	ENSG00000132613	ENSG00000132613.16	16	70661204	70686053	-1	MTSS2	3	4979	262.05263157894734
ATXN2L	17	ENSG00000168488	ENSG00000168488.19	16	28822999	28837237	1	ATXN2L	26	4456	262.11764705882354
STRN3	16	ENSG00000196792	ENSG00000196792.12	14	30893799	31026401	-1	STRN3	8	4195	262.1875
UTP23	14	ENSG00000147679	ENSG00000147679.12	8	116766505	116849463	1	UTP23	9	3672	262.2857142857143
TXLNGY	6	ENSG00000131002	ENSG00000131002.15	Y	19567382	19604120	1	TXLNGY	1	1574	262.3333333333333
H1-4	3	ENSG00000168298	ENSG00000168298.7	6	26156329	26157115	1	H1-4	1	787	262.3333333333333
PJA1	9	ENSG00000181191	ENSG00000181191.12	X	69160851	69165521	-1	PJA1	7	2362	262.44444444444446
TCFL5	10	ENSG00000101190	ENSG00000101190.13	20	62841005	62861822	-1	TCFL5	2	2625	262.5
ZMIZ1	29	ENSG00000108175	ENSG00000108175.19	10	79068966	79316519	1	ZMIZ1	3	7615	262.58620689655174
KPNA6	28	ENSG00000025800	ENSG00000025800.14	1	32108056	32176563	1	KPNA6	4	7355	262.67857142857144
CHD1	31	ENSG00000153922	ENSG00000153922.12	5	98853985	98929007	-1	CHD1	13	8145	262.741935483871
UCA1	9	ENSG00000214049	ENSG00000214049.9	19	15828206	15836328	1	UCA1	51	2365	262.77777777777777
INPP5E	13	ENSG00000148384	ENSG00000148384.14	9	136428619	136439845	-1	INPP5E	6	3417	262.84615384615387
PUDP	8	ENSG00000130021	ENSG00000130021.15	X	6667865	7148158	-1	PUDP	7	2103	262.875
TCF20	29	ENSG00000100207	ENSG00000100207.21	22	42160013	42343616	-1	TCF20	7	7624	262.8965517241379
GATA4	13	ENSG00000136574	ENSG00000136574.19	8	11676959	11760002	1	GATA4	8	3419	263.0
P3H3	10	ENSG00000110811	ENSG00000110811.20	12	6828407	6839847	1	P3H3	11	2631	263.1
CREBBP	41	ENSG00000005339	ENSG00000005339.15	16	3725054	3880713	-1	CREBBP	20	10790	263.1707317073171
TMEM216	4	ENSG00000187049	ENSG00000187049.11	11	61392393	61398866	1	TMEM216	8	1053	263.25
VMP1	14	ENSG00000062716	ENSG00000062716.13	17	59707192	59842255	1	VMP1	20	3686	263.2857142857143
TGS1	17	ENSG00000137574	ENSG00000137574.11	8	55773446	55826445	1	TGS1	3	4477	263.3529411764706
ITPRIP	25	ENSG00000148841	ENSG00000148841.17	10	104309698	104338465	-1	ITPRIP	5	6585	263.4
SGO2	17	ENSG00000163535	ENSG00000163535.18	2	200510008	200584096	1	SGO2	6	4478	263.4117647058824
CDCA8	9	ENSG00000134690	ENSG00000134690.11	1	37692481	37709719	1	CDCA8	2	2371	263.44444444444446
TRPC4AP	12	ENSG00000100991	ENSG00000100991.12	20	35002404	35092807	-1	TRPC4AP	2	3162	263.5
DPM1	4	ENSG00000000419	ENSG00000000419.14	20	50934867	50959140	-1	DPM1	16	1054	263.5
DCAF7	24	ENSG00000136485	ENSG00000136485.16	17	63550222	63594286	1	DCAF7	19	6324	263.5
ERH	3	ENSG00000100632	ENSG00000100632.11	14	69380128	69398299	-1	ERH	4	791	263.6666666666667
CCP110	20	ENSG00000103540	ENSG00000103540.17	16	19523811	19553408	1	CCP110	12	5275	263.75
WARS1	10	ENSG00000140105	ENSG00000140105.18	14	100333790	100376805	-1	WARS1	44	2639	263.9
NME6	11	ENSG00000172113	ENSG00000172113.10	3	48290722	48301685	-1	NME6	22	2903	263.90909090909093
MSN	15	ENSG00000147065	ENSG00000147065.18	X	65588377	65741931	1	MSN	16	3960	264.0
SNHG20	2	ENSG00000234912	ENSG00000234912.12	17	77086716	77099902	1	SNHG20	18	528	264.0
FTLP2	2	ENSG00000232368	ENSG00000232368.1	X	30630298	30630825	1	FTLP2	1	528	264.0
AP1G1	25	ENSG00000166747	ENSG00000166747.13	16	71729000	71809201	-1	AP1G1	22	6602	264.08
TAF11	7	ENSG00000064995	ENSG00000064995.19	6	34877462	34889192	-1	TAF11	12	1849	264.14285714285717
TSPAN14	21	ENSG00000108219	ENSG00000108219.17	10	80454265	80533124	1	TSPAN14	18	5547	264.14285714285717
ARID1B	39	ENSG00000049618	ENSG00000049618.25	6	156776020	157210779	1	ARID1B	37	10310	264.35897435897436
OSGIN2	16	ENSG00000164823	ENSG00000164823.11	8	89901849	89927888	1	OSGIN2	4	4230	264.375
FAM234A	11	ENSG00000167930	ENSG00000167930.17	16	234521	272183	1	FAM234A	21	2909	264.45454545454544
CASP3	10	ENSG00000164305	ENSG00000164305.20	4	184627696	184650062	-1	CASP3	11	2645	264.5
ZC3H18	14	ENSG00000158545	ENSG00000158545.16	16	88570403	88631964	1	ZC3H18	12	3705	264.64285714285717
GEMIN6	14	ENSG00000152147	ENSG00000152147.11	2	38751534	38785002	1	GEMIN6	3	3705	264.64285714285717
C10orf88	11	ENSG00000119965	ENSG00000119965.13	10	122930901	122954311	-1	C10orf88	4	2913	264.8181818181818
DLG5	28	ENSG00000274429	ENSG00000274429.2	HSCHR10_1_CTG4	29483	165218	-1	DLG5	10	7415	264.82142857142856
GATC	16	ENSG00000257218	ENSG00000257218.6	12	120446444	120463749	1	GATC	3	4238	264.875
ZNF609	34	ENSG00000180357	ENSG00000180357.10	15	64460578	64686068	1	ZNF609	4	9006	264.88235294117646
POLR1E	7	ENSG00000137054	ENSG00000137054.16	9	37485948	37503697	1	POLR1E	3	1855	265.0
PSME3	12	ENSG00000131467	ENSG00000131467.12	17	42824385	42843760	1	PSME3	16	3182	265.1666666666667
ADH5	10	ENSG00000197894	ENSG00000197894.12	4	99070978	99088801	-1	ADH5	13	2652	265.2
TRMT5	20	ENSG00000126814	ENSG00000126814.7	14	60971441	60981170	-1	TRMT5	3	5304	265.2
SND1	13	ENSG00000197157	ENSG00000197157.11	7	127652194	128092609	1	SND1	16	3448	265.2307692307692
ZNF76	10	ENSG00000065029	ENSG00000065029.15	6	35258909	35295985	1	ZNF76	11	2653	265.3
SUB1	13	ENSG00000113387	ENSG00000113387.13	5	32531633	32604507	1	SUB1	13	3449	265.3076923076923
DDB1	16	ENSG00000167986	ENSG00000167986.15	11	61299451	61342596	-1	DDB1	45	4245	265.3125
ZNF133	10	ENSG00000125846	ENSG00000125846.17	20	18288283	18316996	1	ZNF133	21	2654	265.4
ZC3H3	6	ENSG00000282684	ENSG00000282684.1	HSCHR8_3_CTG7	26297	31493	-1	ZC3H3	1	1593	265.5
BNIP3L	13	ENSG00000104765	ENSG00000104765.16	8	26383054	26505636	1	BNIP3L	7	3452	265.53846153846155
LARS2	18	ENSG00000011376	ENSG00000011376.12	3	45388561	45554726	1	LARS2	12	4781	265.6111111111111
PWP2	12	ENSG00000241945	ENSG00000241945.8	21	44107373	44131181	1	PWP2	6	3188	265.6666666666667
TDP1	14	ENSG00000042088	ENSG00000042088.14	14	89954939	90044764	1	TDP1	17	3722	265.85714285714283
